uid	title	imgURL	caption
Implant3760	Cable Pins	http://orthopaediclist.com/images/uploaded/elbow fx 230237-opt.jpg	"Identified by Philip Konkel MD, Orthopedics and Hand Surgery, Menomonee Falls, WI: """"These are from Zimmer, and are known as cable pins, designed for olecranon Fx and osteotomy repair. The wire is swedged into the pin, and must be cut to remove, (heavy wire cutter). The pins have a hex fitting on the end, and there is a driver that can be chucked into a drill, for insertion and removal. The insertion set from your Zimmer rep has what is needed for removal. One note of advice, the pins when inserted will drive in only so far, the threaded end as it draws into the bone will advance the pin into the bone, but the driver is larger than the hole for the pin, so the pin spins off the driver, stopping its forward progress, so for removal, you need to remove a little bone from around the end of the pin to fit the driver for removal."
Implant252	Cannulated Screw	http://orthopaediclist.com/images/uploaded/3-13-2002 AP 4 wks22925-opt.jpg	AP: 3.5 mm Stainless Steel cannulated screw for medial epicondyle apophysis avulsion. Note self tapping threads.
Implant253	Cannulated Screw	http://orthopaediclist.com/images/uploaded/3-13-2002 Lat 4 wks71453-opt.jpg	Lateral: 3.5 mm Stainless Steel cannulated screw for medial epicondyle apophysis avulsion. Note self tapping threads.
Implant30	Centerpulse Druck Scheibe	http://orthopaediclist.com/images/uploaded/THRUST PLATE-opt.jpg	Druck Scheibe Prosthese Thrust Plate Total Hip (Formerly Centerpulse Orthopedics, Inc.)
Implant3992	Charnley	http://orthopaediclist.com/images/uploaded/Morscher Isoelastic Prosthesis from Sarmiento 2008041423308-opt.jpg	Original Charnley total hip prosthesis with Teflon cup.  Note severe lysis in the acetabulum and femur.
Implant272	Condylar Plate	http://orthopaediclist.com/images/uploaded/CP on SWBNZ88953-opt.jpg	Condylar Buttress Plate for distal femur. First generation implant. Not locking screws. Note anterior edge is not straight as is current Locking Condylar Plate.
Implant149	Coonrad-Morey Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/CM Lat16928-opt.jpg	Coonrad-Morrey Total Elbow Prosthesis, Lateral View
Implant148	Coonrad-Morrey Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/CM ap58877-opt.jpg	Coonrad-Morrey Total Elbow Prosthesis, AP View
Implant196	Coonrad-Morrey Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/Taylor TSA 96 2004081371601-opt.jpg	Coonrad-Morrey Total Elbow Prosthesis; 8-yr. follow-up;  inserted in 1996 for rheumatoid arthritis
Implant4208	DePuy ALPS	http://orthopaediclist.com/images/uploaded/ap alps plate18874-opt.jpg	The AP film is an ankle fixation performed with the Depuy ALPS system released for use Feb 2009.
Implant4209	DePuy ALPS	http://orthopaediclist.com/images/uploaded/lateral alps plate53817-opt.jpg	Lateral of Ankle fracture fixation with the Depuy ALPS system released Feb 2009.
Implant4213	DePuy ASR Cup & Summit Stem	http://orthopaediclist.com/images/uploaded/IMG_020243089-opt.jpg	ASR 300 Cup w/ Head & Summit PF Stem
Implant50	DePuy Brantigan	http://orthopaediclist.com/images/uploaded/Image5-opt.jpg	Brantigan Cages and Miami-Moss Pedicle Screws
Implant4269	DePuy Corail with Pinnacle Cup	http://orthopaediclist.com/images/uploaded/Slide3(2)56857-opt.jpg	60/ f had Primary THR for displaced intra capsular fracture neck of femur. Following a mechanical fall within 2 weeks of index operation sustained a periprosthetic fracture below the well fixed uncemented THR-(Corail/Pinnacle cup) from Depuy.
Implant4255	DePuy LPS	http://orthopaediclist.com/images/uploaded/LPS Dist. Femur63623-opt.jpg	DePuy LPS Dist. Fem. Replacement, with rotating platform Rev. Tibia with Metaphysal sleeves and press fit stem.
Implant169	DePuy Orthogenesis	http://orthopaediclist.com/images/uploaded/dac64770-opt.jpg	ORTHOGENESIS Limb Preservation System (LPS; 78 yo male with h/o loose TKA and multiple failed fracture fixations, left distal femur.
Implant102	DePuy Pritchard Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/Pritchard TEA-opt.jpg	Pritchard Total Elbow Arthroplasty, AP
Implant104	DePuy Pritchard Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/pritchard erss lat-opt.jpg	Pritchard ERSS Total Elbow Arthroplasty, Lateral
Implant4270	DePuy Solution	http://orthopaediclist.com/images/uploaded/Slide460731-opt.jpg	Uncemented Solution long stem  - Porous coated with distal cylinderical stem fix enhancing the stem bone interface,matching the patients canal diameter. Additional Trochanteric stabilisation plate and cables - Zimmer to increase the mechanical stability.
Implant168	DePuy Stability Stem, Duraloc Cup	http://orthopaediclist.com/images/uploaded/unknown implant123990-opt.jpg	DePuy Stability Hip with Duraloc Cup.  Identified by Mark Hawkins, DePuy, Charlotte.
Implant265	DePuy Synthes Recon Plate	http://orthopaediclist.com/images/uploaded/2002-11-05 AP 12 wks34109-opt.jpg	3.5 mm Locked Reconstruction plate used as a neutralization plate for clavicle non-union. Note the finely threaded locking screws and the standard pitch cortical screws. Shaft screws outside plate for interfragmentary compression.
Implant288	Dynamic Condylar Screw	http://orthopaediclist.com/images/uploaded/Sylvia Cruz Distal Femur DCS67887-opt.jpg	Dynamic Condylar Screw (DCS) for C-3 distal femur fracture. Implant functions as bridge plate past zone of comminution. Example of biologic internal fixation. Same implant can be used in proximal femur.
Implant636	EBI Biomet	http://orthopaediclist.com/images/uploaded/kil3moAP_1_100168748-opt.jpg	Courtesy of Douglas R. Dirschl, MD; UNC Orthopaedics; Chapel Hill, NC, USA
Implant385	Edwards Modular	http://orthopaediclist.com/images/uploaded/Image1050650-opt.jpg	Edwards Modular System.
Implant360	Elbow, Hemireplacement:  Stevens-Street	http://orthopaediclist.com/images/uploaded/TEAH Stevens-Street25691-opt.jpg	Stevens-Street Hemireplacement Elbow Prosthesis.  Titanium condylar replacment only.  Unconstrained.
Implant337	Elbow, Total:  Coonrad	http://orthopaediclist.com/images/uploaded/TEA, Coonrad34144-opt.jpg	Coonrad Total Elbow Prosthesis.  Hinged.  Polyethylene bushing.  Semi-constrained.
Implant336	Elbow, Total:  Dee	http://orthopaediclist.com/images/uploaded/TEA, Dee26520-opt.jpg	Dee (Roger Dee).  Metal to metal, hinged, CoCr.  Constrained.
Implant345	Elbow, Total:  Ewald	http://orthopaediclist.com/images/uploaded/TEA Ewald79815-opt.jpg	Ewald Total Elbow Prosthesis.  Cobalt-chrome-polyethylene.  Unconstrained.
Implant338	Elbow, Total:  Gschwend-Scheier-Bahler	http://orthopaediclist.com/images/uploaded/TEA, GSB67057-opt.jpg	Elbow:  GSB (Gschwend-Scheier-Bahler) Total Elbow Prosthesis.  Hinged.  Metal-to-metal.  CoCr.  Constrained.
Implant357	Elbow, Total:  Howmedica Custom	http://orthopaediclist.com/images/uploaded/TEA, Howmedica Custom20067-opt.jpg	Howmedical Custom Total Elbow Prosthesis.  Two-piece Vitallium hinged prosthesis with extended stems and flanges for seating in markedly resected elbow.
Implant346	Elbow, Total:  HSS	http://orthopaediclist.com/images/uploaded/TEA HSSS58882-opt.jpg	Hospital for Special Surgery Total Elbow Prosthesis.  Semi-constrained.  Metal-polyethylene.
Implant347	Elbow, Total:  London	http://orthopaediclist.com/images/uploaded/TEA London12238-opt.jpg	London Total Elbow Prosthesis.  No further description available.
Implant348	Elbow, Total:  Mayo	http://orthopaediclist.com/images/uploaded/TEA Mayo Clinic771-opt.jpg	Mayo Clinic Total Elbow Prosthesis.  Unconstrained.  3 Components.
Implant358	Elbow, Total:  Mazas	http://orthopaediclist.com/images/uploaded/TEA, Mazas55181-opt.jpg	Mazas Total Elbow Prosthesis.  Metal to metal.  Constrained.
Implant342	Elbow, Total:  McKee	http://orthopaediclist.com/images/uploaded/TEA, McKee88538-opt.jpg	McKee (G.K. McKee) Total Elbow Prosthesis.  Metal-to-metal.  Co-Cr.  Hinged.  Constrained.
Implant349	Elbow, Total:  Pritchard-Walker	http://orthopaediclist.com/images/uploaded/TEA Pritchard-Walker83146-opt.jpg	Pritchard-Walker Total Elbow Prosthesis.  Loosely constrained.  Humerus: polyethylene.  Ulna: metal.
Implant350	Elbow, Total:  Pritchard-Walker II	http://orthopaediclist.com/images/uploaded/TEA Pritchard-Walker II7361-opt.jpg	Pritchard-Walker II Total Elbow Prosthesis.  No further information available.
Implant359	Elbow, Total:  Schlein	http://orthopaediclist.com/images/uploaded/TEA, Schlein38510-opt.jpg	Schlein Total Elbow Prosthesis.  Semi-constrained.  Metal (co-cr) with polyethylene bushing.
Implant340	Elbow, Total:  Shiers	http://orthopaediclist.com/images/uploaded/TEA, Shiers56453-opt.jpg	Shiers' Elbow Prosthesis.  Metal-to-metal.  Hinged.  Constrained.  Stainless steel.
Implant364	Elbow, Total:  St. Georg-Bucholz	http://orthopaediclist.com/images/uploaded/PIP St. Georg-Bucholz56803-opt.jpg	St. Georg-Bucholz.  Constrained.  Metal and HDPE.
Implant351	Elbow, Total:  St. Georg-Bucholz	http://orthopaediclist.com/images/uploaded/TEA St Georg95205-opt.jpg	St. Georg-Bucholz Total Elbow Prosthesis.  Semi-constrained.  Humerus:  Polyethylene.  Ulna:  Co-Cr.
Implant341	Elbow, Total:  Stanmore	http://orthopaediclist.com/images/uploaded/TEA, Stanmore51236-opt.jpg	Elbow:  Stanmore Total Elbow Prosthesis.  Metal-to-metal.  Hinged.  CoCr.  Constrained.
Implant352	Elbow, Total:  Swanson	http://orthopaediclist.com/images/uploaded/TEA Swanson Silastic4083-opt.jpg	Swanson Total Elbow Prosthesis.  Silastic.  Used with reinforced ligamentous reconstruction.
Implant353	Elbow, Total:  Swanson	http://orthopaediclist.com/images/uploaded/TEA Swanson Sketch Metal45936-opt.jpg	Swanson Total Elbow Prosthesis (sketch).  Semi-constrained.  Vitalium with polyethylene bushing.
Implant354	Elbow, Total:  Triazial	http://orthopaediclist.com/images/uploaded/TEA Triazial97127-opt.jpg	Triazial Total Elbow Prosthesis.  No further information available.
Implant355	Elbow, Total:  Volz	http://orthopaediclist.com/images/uploaded/TEA Volz14185-opt.jpg	Volz Total Elbow Prosthesis.  Semi-constrained.  3 components.  Plastic radial head to articulate with capitellar bearing.  From Univ. of Arizona.
Implant356	Elbow, Total:  Wadsworth	http://orthopaediclist.com/images/uploaded/TEA Wadsworth69489-opt.jpg	Wadsworth Total Elbow Prosthesis.  No further information available.
Implant4277	Encore Foundation	http://orthopaediclist.com/images/uploaded/encore medical foundation146049-opt.jpg	FOUNDATION; implanted approximately 1992
Implant4278	Encore Foundation	http://orthopaediclist.com/images/uploaded/encore medical foundation251448-opt.jpg	FOUNDATION; implanted approx 1992
ImplantID 406	Encore Reverse TSA (Implant ID 406)	http://orthopaediclist.com/images/uploaded/Jones Encore Reverse AP 2005102449755-opt.jpg	Encore Reverse Total Shoulder prosthesis. Salvage prosthesis for patients with irreparable rotator cuffs.
Implant4254	Endlock Tumor Prosthesis	http://orthopaediclist.com/images/uploaded/Endlock Tumor Prosthesis(1)7311-opt.jpg	Endlock Tumor Prosthesis
Implant90	Ewald Resurfacing Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/ewald x-ray-opt.jpg	Ewald Resurfacing Total Elbow Prosthesis, manufactured by Howmedica
Implant273	Grosse-Kempf Nail	http://orthopaediclist.com/images/uploaded/G-K Femoral Rod9894-opt.jpg	Grosse-Kempf Interlocking Femoral Nail. First generation interlocking nail. Note slightly flared proximal end. No notch. Rotation controlled by two flat edges of nail. Screws are finely threaded and have cylindrical head.
Implant311	Hand, CMC Joint:  Daumen-Sattelgelenk	http://orthopaediclist.com/images/uploaded/CMC Joint, Daumen-Sattelgelenk, Robt. Mathys44340-opt.jpg	Daumen-Sattelgelenk Prothese.
Implant312	Hand, CMC Joint:  de la Caffiniere	http://orthopaediclist.com/images/uploaded/CMC Joint, de la Caffiniere, B.G. Orthopedic Corp., 1970's27489-opt.jpg	This image came from a collection of photographs given to the American Academy of Orthopaedic Surgeons in 1982 by Ralph Coonrad, MD, Professor of Orthopaedic Surgery, Duke University School of Medicine.
Implant314	Hand, CMC Joint:  Mayo	http://orthopaediclist.com/images/uploaded/CMC Joint, Mayo, DePuy, Developmental, 1970's75958-opt.jpg	CMC Joint: Mayo, Developmental.
Implant313	Hand, CMC Joint:  Mayo STT	http://orthopaediclist.com/images/uploaded/CMC Joint, Mayo STT, DePuy, Developmental87464-opt.jpg	CMC Joint:  Mayo STT, Developmental.
Implant315	Hand, CMC Joint:  St. Georg-Bucholz	http://orthopaediclist.com/images/uploaded/CMC Joint, St. Georg-Bucholz, Richards, 1970's18826-opt.jpg	CMC Joint:  St. Georg-Bucholz.
Implant316	Hand, CMC Joint:  Steffee	http://orthopaediclist.com/images/uploaded/CMC Joint, Steffee, DePuy, Developmental95718-opt.jpg	Steffee
Implant317	Hand, MCP Joint:  Cutter-Niebauer	http://orthopaediclist.com/images/uploaded/MCP, Cutter-Niebauer005052081-opt.jpg	Cutter-Niebauer MCP Prosthesis
Implant318	Hand, MCP Joint:  Flatt	http://orthopaediclist.com/images/uploaded/MCP, Flatt, Stainless and Silastic53340-opt.jpg	Flatt MCP Prosthesis.  Stainless steel.  [Ignore plastic prostheses also in photo.]
Implant326	Hand, MCP Joint:  Garcia-Moral MCP	http://orthopaediclist.com/images/uploaded/MCP, Garcia-Moral92229-opt.jpg	MCP:  Garcia-Moral MCP Prosthesis
Implant328	Hand, MCP Joint:  Georg-Bucholz	http://orthopaediclist.com/images/uploaded/MCP, St. Georg-Bucholz44362-opt.jpg	St. Georg-Bucholz MCP Prosthesis
Implant331	Hand, MCP Joint:  Nicolle MCP	http://orthopaediclist.com/images/uploaded/MCP, Nicole88091-opt.jpg	Nicolle MCP Prosthesis
Implant327	Hand, MCP Joint:  Pyrolite Carbon	http://orthopaediclist.com/images/uploaded/MCP, Pyrolite Carbon42419-opt.jpg	Pyrolite Carbon MCP Prosthesis
Implant319	Hand, MCP Joint:  Schultz	http://orthopaediclist.com/images/uploaded/MCP, Schultz68466-opt.jpg	Schultz MCP Joint.  Cobalt-chrome and HDPE.
Implant320	Hand, MCP Joint:  Steffee Mark I and Mark II	http://orthopaediclist.com/images/uploaded/MCP, Steffee, Mark I and II15019-opt.jpg	Steffee Mark I and Steffee Mark II MCP Prostheses
Implant329	Hand, MCP Joint:  Strickland	http://orthopaediclist.com/images/uploaded/MCP, Strickland42482-opt.jpg	Strickland MCP Prosthesis
Implant321	Hand, MCP Joint:  Swanson	http://orthopaediclist.com/images/uploaded/MCP, Swanson Silastic70585-opt.jpg	Swanson Silastic MCP Prosthesis
Implant322	Hand, MCP Joint:  Walker	http://orthopaediclist.com/images/uploaded/MCP, Walker I74578-opt.jpg	Walker I MCP Prosthesis.  By Cintor, a Division of Codman.
Implant323	Hand, MCP Joint:  Walker II	http://orthopaediclist.com/images/uploaded/MCP, Walker II32385-opt.jpg	Walker II MCP Prosthesis.  By Cintor, a Division of Codman.
Implant330	Hand, MCP Joint:  Zeigefinger-Grundgelenk	http://orthopaediclist.com/images/uploaded/MCP, Ziegefinger-Grudndgelenk94015-opt.jpg	Zeigefinger-Grundgelenk aus Kunststoff mit Metallarmierung
Implant363	Hand, PIP Joint:  Mayo II	http://orthopaediclist.com/images/uploaded/PIP Mayo II73397-opt.jpg	Mayo II PIP Joint Prosthesis.  two piece.  Unconstrained.
Implant362	Hand, PIP Joint:  Mayo PIP	http://orthopaediclist.com/images/uploaded/PIP Mayo1796-opt.jpg	Mayo PIP Joint Prosthesis.  Snap fit.  Stainless steel and HDPE.  Developmental.
Implant365	Hand, PIP Joint:  Swiss	http://orthopaediclist.com/images/uploaded/PIP Swiss75976-opt.jpg	Swiss PIP Joint Prosthesis.  Metal-reinforced polyacetyl split stems with threading for expansion.  Snap fit.  Semi constrained.
Implant366	Hand, PIP Joint:  Wright PIP	http://orthopaediclist.com/images/uploaded/PIP Wright58976-opt.jpg	Wright PIP Joint Prosthesis.  Metal bicondylar convex proximal surface.  HDPE concave bearing surface.  Porous polyethylene coating of stems.  Unconstrained.
Implant324	Hand, Thumb CMC Joint:  BLUC	http://orthopaediclist.com/images/uploaded/Thumb MCP, BLUC40791-opt.jpg	MCP Thumb:  BLUC Thumb MCP Prosthesis.
Implant325	Hand, Thumb CMC Joint:  Steffee	http://orthopaediclist.com/images/uploaded/Thumb MCP, Steffee40590-opt.jpg	MCP Thumb:  Steffee Thumb MCP Prosthesis.  Developmental.
Implant4240	Hip Prostheses:  Total, Primary:  Unidentified	http://orthopaediclist.com/images/uploaded/willie hip82827-opt.jpg	Low quality image of an unknown hip stem and cup.  Any guesses?
Implant4271	Hip Prostheses:  Total, Primary:  Unidentified	http://orthopaediclist.com/images/uploaded/thr35589-opt.jpg	Unidentified total hip prosthesis
Implant4286	Hip Prostheses:  Total, Primary:  Unidentified THA	http://orthopaediclist.com/images/uploaded/Unknown Hip Implant85130-opt.jpg	Need to identify the hip stem
Implant427	Hip Prostheses:  Total, Revision, Biomet Reach	http://orthopaediclist.com/images/uploaded/stem.188206-opt.jpg	"Total hip revision prosthesis with loosening.  Submitted as an unknown by Dr. Menet.  Identified by Zach Mills of Zimmer as the """"Reach Modular Revision System"""" by Biomet."
Implant204	Hip Prostheses:  Total, Revision, Biomet Triflange Cup	http://orthopaediclist.com/images/uploaded/Triflange_20505029-opt.jpg	Biomet Custom Triflange Acetabular Reconstruction Cup, Implanted in a patient with extensive periacetabular osteolysis
Implant408	Hip Prostheses:  Total, Revision, Zimmer Bias Stem and HGP II Cup	http://orthopaediclist.com/images/uploaded/Bryan Bias THA circa 1984333-opt.jpg	Bias revision femoral stem implanted by Dr. Dorman in 1984. HGP II Acetabular Component.
Implant4246	Hip Prosthesis, Total, AP:  Unidentified	http://orthopaediclist.com/images/uploaded/Unknown implants25825-opt.jpg	I cannot seem to find an exact match for these implants, although it does look similar to some Biomet implants.  It is now 18 years post-op.  Any help would be greatly appreciated.
Implant4284	Hip Prosthesis, Total, AP:  Unidentified	http://orthopaediclist.com/images/uploaded/STANB94314-opt.jpg	Unknown cemented collared stem implanted 17yrs ago
Implant4285	Hip Prosthesis, Total, AP:  Unidentified	http://orthopaediclist.com/images/uploaded/photo34677-opt.jpg	Unknown total hip prosthesis
ImplantID 4282	Hip Prosthesis, Total, AP:  Unidentified  (Implant ID 4282)	http://orthopaediclist.com/images/uploaded/aw ap hip(1)7561-opt.jpg	AP hip, cemented, unidentified
Implant4176	Hip Prosthesis, Total, AP:  Unidentified	http://orthopaediclist.com/images/uploaded/11404-opt.jpg	Submitted by Khurram Pervaiz; VA Medical Center; Richmond, VA, USA
Implant4260	Hip Prosthesis, Total, AP:  Unidentified	http://orthopaediclist.com/images/uploaded/Unnamed(1)68519-opt.jpg	Unidentified total hip
Implant31	Howmedica	http://orthopaediclist.com/images/uploaded/Howmedica Cemented Accolade-opt.jpg	Howmedica Cemented Accolade Stem, Trident PSL Acetabulum
Implant24	Howmedica Cup & Accolade Stem	http://orthopaediclist.com/images/uploaded/Howmedica Ceramic Hip-opt.jpg	Howmedica Trident PSL Acetabulum with Ceramic liner, with Accolade TMZ Femur press fit
Implant642	Howmedica Duracon TS	http://orthopaediclist.com/images/uploaded/P130018846109-opt.jpg	"Submitted as an unidentified implant: ""Is this a posterior stabilized or a hinge knee?"" Identified by Paul Golden on 9/3/2010 as a ""Duracon TS by Howmedica/Stryker""."
Implant16	Howmedica Gamma Nail	http://orthopaediclist.com/images/uploaded/Gamma Nail-opt.jpg	Gamma Nail
Implant282	Howmedica Gamma Nail	http://orthopaediclist.com/images/uploaded/Original Gamma Nail73503-opt.jpg	Original Gamma Nail. Circa 1987. Note 10 degree proximal bend and 6 mm distal interlocking screw.
Implant283	Howmedica Gamma Nail	http://orthopaediclist.com/images/uploaded/Trochanteric Gamma Nail29768-opt.jpg	Trochanteric Gamma Nail. Second generation. Note 4 degree proximal bend and smaller distal interlocking screw.
Implant160	Howmedica Geometric	http://orthopaediclist.com/images/uploaded/OA 1162767-opt.jpg	Geometric TKR
Implant63	Howmedica HD2	http://orthopaediclist.com/images/uploaded/Sledge, Sara hip stem-opt.jpg	Photo submitted as an unknown by Dr. Hundley.  Inserted in Charlotte, NC ~ 1983.  Identified by Mark Hawkins as SixTI 32 long stem or a Howmedica HD2 long stem. Same stem. Howmedica made it in CoCr and Zimmer in Ti.
Implant14	Howmedica ODC Stem	http://orthopaediclist.com/images/uploaded/Howmedica ODC Femoral Stem(1)-opt.jpg	Howmedica ODC cemented femoral stem
Implant59	Howmedica Recon Nail	http://orthopaediclist.com/images/uploaded/Reconstruction Nail-opt.jpg	T2 Reconstruction Nail for prophylactic TX breast CA
Implant13	Howmedica SOLAR	http://orthopaediclist.com/images/uploaded/Howmedical hemi shoulder-opt.jpg	Howmedica/Osteonics SOLAR Hemi Shoulder for Fracture, cemented
Implant155	Howmedica Waldius	http://orthopaediclist.com/images/uploaded/OA 973322-opt.jpg	Waldius Hinged Total Knee Prosthesis
Implant707	Humerus, Nail, AP:  Unidentified	http://orthopaediclist.com/images/uploaded/12950-opt.jpg	Humeral nail - NEEDS REMOVAL. What nail is it?
Implant843	Humerus, Proximal	http://orthopaediclist.com/images/uploaded/Digitalizar0001178288-opt.jpg	Fratura mero proximal, com luxa o da cabea.
Implant259	Humerus, Proximal:  Enders Nail	http://orthopaediclist.com/images/uploaded/Enders AP 266635-opt.jpg	Enders Nails in humerus.
Implant17	Humerus, Proximal:  Smith & Nephew Evans Staple	http://orthopaediclist.com/images/uploaded/Evans Staple-opt.jpg	Evans Staple
Implant217	Humerus, Proximal:  Synthes Cannulated Blade Plate	http://orthopaediclist.com/images/uploaded/03-19-2002 AP 11 wks post-op91584-opt.jpg	Cannulated blade plate (AP) for proximal humerus fractures. Example of fixed-angle device.
Implant218	Humerus, Proximal:  Synthes Cannulated Blade Plate	http://orthopaediclist.com/images/uploaded/03-19-2002 Lat 11 wks post-op43843-opt.jpg	Cannulated blade plate (LAT) for fixation of proximal humerus fractures
Implant18	Humerus, Proximal:  Synthes Locking Humerus Plate	http://orthopaediclist.com/images/uploaded/Synthes Locking Humeral Plate-opt.jpg	Locking Humerus Plate
Implant111	Humerus, Proximal:  Synthes Locking Prox Hum Plate	http://orthopaediclist.com/images/uploaded/Synthes locking proximal humeral plate-opt.jpg	Referred patient with a locking proximal humeral plate applied to a proximal humeral fracture. One of the locking screws has backed out of the plate, despite the fact that the threaded head of the screw threads into the hole in the plate.Submitted By: Douglas Dirschl, MD
Implant220	Humerus, Proximal:  Synthes PHN	http://orthopaediclist.com/images/uploaded/2003-01-14 AP 12 wks15323-opt.jpg	Proximal Humerus Nail (PHN) with spiral blade for fixation of proximal humerus fractures. Titanium rod. Blade locks to rod forming fixed angle device. Distal interlocking available.
Implant83	Humerus, Proximal:  Synthes PHN	http://orthopaediclist.com/images/uploaded/Dirschl Humerus 20040303b-opt.jpg	Synthes Proximal Humeral Nail.  (Note blade-like device for purchase within the humeral head.)
Implant221	Humerus, Proximal:  Synthes PHN with spiral blade	http://orthopaediclist.com/images/uploaded/2002-12-04 Lat 6.1 wks39967-opt.jpg	Proximal Humerus Nail (PHN) with spiral blade (Lateral). Flange of spiral blade has 4 holes for suture fixation of tuberosities.
Implant206	Humerus, Proximal:  Synthes Proximal Humeral Locking Plate	http://orthopaediclist.com/images/uploaded/2004-06-16 AP 16.1 wks75750-opt.jpg	AP of 4-part proximal humerus fracture fixed with Proximal Humerus Locking Plate.  Stainless steel. Multiple fixed-angle locked screws in head and shaft.
Implant205	Humerus, Proximal:  Synthes Proximal Humerus Locking Plate	http://orthopaediclist.com/images/uploaded/2004-06-16 Lat 16.1 wks70162-opt.jpg	AP and Lateral of 4-part proximal humerus fracture fixed with Proximal Humerus Locking Plate.  Stainless steel. Multiple fixed-angle locked screws in head and shaft.
Implant254	Humerus, Proximal:  Synthes Ti T-Plate	http://orthopaediclist.com/images/uploaded/02-01-2002 AP Healed 6 wks99659-opt.jpg	AP: Titanium T-Plate from small fragment set with 3.5 mm screws for displaced Salter II proximal humerus fracture.
Implant255	Humerus, Proximal:  Synthes Titanium T-Plate	http://orthopaediclist.com/images/uploaded/Culver,Prox Humerus Healed4556-opt.jpg	Lateral:  Proximal humerus with Titanium T-Plate from small fragment set with 3.5 mm screws for displaced Salter II proximal humerus fracture.
